,Unnamed: 0,longitude,latitude,code,name,state,nearest_town_distance,nearest_town_bearing,city,geometry
122,122,-79.269,42.519,SHER,Sheridan Bay Park,NY,3,NW,Sheridan,POINT (-79.269 42.519)
123,123,-72.472,40.842,SHIN,Shinnecock East County Park,NY,5,SW,Southampton,POINT (-72.472 40.842)
124,124,-76.886,42.492,SMIT,Smith Memorial Park,NY,1,SW,Hector,POINT (-76.886 42.492)
125,125,-76.196,43.765,SOUT,Southwick Beach State Park,NY,6,S,Henderson,POINT (-76.196 43.765)
126,126,-78.636,42.592,SPRA,Sprague Brook Park,NY,2,SE,Glenwood,POINT (-78.636 42.592)
127,127,-74.678,42.995,STJO,St. Johnsville Campsite and Marina,NY,0,S,St Johnsville,POINT (-74.678 42.995)
128,128,-77.697,42.526,STON,Stony Brook State Park,NY,2,S,Dansville,POINT (-77.697 42.526)
129,129,-76.607,42.54,TAUG,Taughannock Falls State Park,NY,3,E,Trumansburg,POINT (-76.607 42.54)
130,130,-73.824,44.494,TAYL,Taylor Pond - DEC,NY,8,NW,Au Sable Forks,POINT (-73.824 44.494)
131,131,-71.901,41.056,THEO,Theodore Roosevelt County Park,NY,3,NE,Montauk,POINT (-71.901 41.056)
132,132,-74.046,42.653,THOM,Thompsons Lake State Park,NY,3,NE,East Berne,POINT (-74.046 42.653)
133,133,-75.963,42.398,UPPL,Upper Lisle,NY,5,N,Whitney Point,POINT (-75.963 42.398)
134,134,-75.725,43.178,VERO,Verona Beach State Park,NY,1,S,Verona Beach,POINT (-75.725 43.178)
135,135,-73.584,41.255,WARD,Ward Pound Ridge Reservation,NY,5,E,Katonah,POINT (-73.584 41.255)
136,136,-76.881,42.37,WATK,Watkins Glen State Park,NY,1,SW,Watkins Glen,POINT (-76.881 42.37)
137,137,-77.46,43.258,WEBS,Webster Park,NY,4,NW,Webster,POINT (-77.46 43.258)
138,138,-76.019,44.316,WELL,Wellesley Island State Park,NY,2,N,Fineview,POINT (-76.019 44.316)
139,139,-76.114,43.897,WEST,Westcott Beach State Park,NY,5,NE,Henderson,POINT (-76.114 43.897)
140,140,-75.462,43.702,WHET,Whetstone Gulf State Park,NY,6,S,Lowville,POINT (-75.462 43.702)
141,141,-73.724,41.953,WILC,Wilcox Memorial Park,NY,4,E,Milan,POINT (-73.724 41.953)
142,142,-72.805,40.963,WILD,Wildwood State Park,NY,2,NE,Wading River,POINT (-72.805 40.963)
143,143,-73.861,44.35,WILM,Wilmington Notch - DEC,NY,4,SW,Wilmington,POINT (-73.861 44.35)
144,144,-74.273,41.537,WIND,Winding Hills Park,NY,2,W,Montgomery,POINT (-74.273 41.537)
145,145,-74.37,42.033,WOOD,Woodland Valley - DEC,NY,5,SW,Phoenicia,POINT (-74.37 42.033)
